孕周数,妇间BMI情景,孕妇平均BMI,BMI个体内偏差,预测Y浓度,标准误,95%置信区间下限,95%置信区间上限,预测Y浓度百分比,下限百分比,上限百分比
19,平均BMI减2,30.405292124,0,0.0674921072379,0.00263563435373,0.0623262639046,0.0726579505712,6.74921072379,6.23262639046,7.26579505712
19.1428571429,平均BMI减2,30.405292124,0,0.0679261068568,0.00265340389061,0.0627254352312,0.0731267784823,6.79261068568,6.27254352312,7.31267784823
19.2857142857,平均BMI减2,30.405292124,0,0.0683833434111,0.0026726628104,0.0631449243027,0.0736217625195,6.83833434111,6.31449243027,7.36217625195
19.4285714286,平均BMI减2,30.405292124,0,0.0688647333531,0.00269289693574,0.063586655359,0.0741428113471,6.88647333531,6.3586655359,7.41428113471
19.5714285714,平均BMI减2,30.405292124,0,0.0693711931348,0.00271356167144,0.0640526122588,0.0746897740108,6.93711931348,6.40526122588,7.46897740108
19.7142857143,平均BMI减2,30.405292124,0,0.0699036392085,0.00273409458102,0.0645448138297,0.0752624645873,6.99036392085,6.45448138297,7.52624645873
19.8571428572,平均BMI减2,30.405292124,0,0.0704629880264,0.0027539276173,0.0650652898965,0.0758606861563,7.04629880264,6.50652898965,7.58606861563
20,平均BMI减2,30.405292124,0,0.0710501560404,0.00277249892846,0.0656160581407,0.0764842539402,7.10501560404,6.56160581407,7.64842539402
20.1428571429,平均BMI减2,30.405292124,0,0.0716660597029,0.00278926429931,0.0661991016763,0.0771330177296,7.16660597029,6.61991016763,7.71330177296
20.2857142857,平均BMI减2,30.405292124,0,0.072311615466,0.00280370841106,0.0668163469803,0.0778068839517,7.2311615466,6.68163469803,7.78068839517
20.4285714286,平均BMI减2,30.405292124,0,0.0729877397817,0.0028153562111,0.067469641608,0.0785058379555,7.29877397817,6.7469641608,7.85058379555
20.5714285714,平均BMI减2,30.405292124,0,0.0736953491023,0.00282378477999,0.0681607309336,0.0792299672711,7.36953491023,6.81607309336,7.92299672711
20.7142857143,平均BMI减2,30.405292124,0,0.0744352693383,0.002828656356,0.0688911028805,0.079979435796,7.44352693383,6.88911028805,7.9979435796
20.8571428572,平均BMI减2,30.405292124,0,0.0752072738529,0.00282994749405,0.0696605767645,0.0807539709412,7.52072738529,6.96605767645,8.07539709412
21,平均BMI减2,30.405292124,0,0.0760104569468,0.00282787499771,0.0704678219513,0.0815530919423,7.60104569468,7.04678219513,8.15530919423
21.1428571429,平均BMI减2,30.405292124,0,0.0768439016031,0.00282274273749,0.0713113258376,0.0823764773685,7.68439016031,7.13113258376,8.23764773685
21.2857142857,平均BMI减2,30.405292124,0,0.0777066908045,0.00281493306502,0.0721894219971,0.083223959612,7.77066908045,7.21894219971,8.3223959612
21.4285714286,平均BMI减2,30.405292124,0,0.0785979075342,0.00280490183274,0.0731002999421,0.0840955151264,7.85979075342,7.31002999421,8.40955151264
21.5714285714,平均BMI减2,30.405292124,0,0.0795166347751,0.00279317405907,0.0740420136193,0.0849912559309,7.95166347751,7.40420136193,8.49912559309
21.7142857143,平均BMI减2,30.405292124,0,0.0804619555101,0.00278033976387,0.0750124895729,0.0859114214473,8.04619555101,7.50124895729,8.59114214473
21.8571428572,平均BMI减2,30.405292124,0,0.0814329527222,0.00276704947339,0.0760095357544,0.0868563696901,8.14329527222,7.60095357544,8.68563696901
