模型代号,模型名称,重复轮次,折号,训练孕妇数,测试孕妇数,训练事件数,测试事件数,均方根误差_RMSE,平均绝对误差_MAE,折内决定系数_R2,收敛标志,优化器,警告或异常
二次交互_随机截距,低阶曲率交互模型（随机截距）,3,5,133,34,490,123,0.0332529773323,0.024192034413,0.118149963123,1,lbfgs,
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,3,1,134,33,491,122,0.0475117104113,0.034033932238,-0.0267011018123,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,3,2,134,33,490,123,0.0263081720133,0.0204445939766,0.260490905311,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,3,3,134,33,491,122,0.0325983705751,0.0239188784215,-0.0378963135221,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,3,4,133,34,490,123,0.025465208934,0.019542089039,0.201739057275,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,3,5,133,34,490,123,0.03335442913,0.0242816751246,0.112760866937,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,3,1,134,33,491,122,0.0470545956163,0.033851364324,-0.00704015626479,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,3,2,134,33,490,123,0.0254031000962,0.0199035772568,0.310497868912,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,3,3,134,33,491,122,0.0321285043374,0.023965680399,-0.00819189443135,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,3,4,133,34,490,123,0.0254329095371,0.0197962964489,0.203762759152,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,3,5,133,34,490,123,0.0329179516016,0.0240238333597,0.135829832804,1,lbfgs,The MLE may be on the boundary of the parameter space.
空模型_随机截距,空模型（随机截距）,4,1,133,34,490,123,0.0398646076764,0.0279128345919,-0.0433614353347,1,powell,lbfgs:LinAlgError:Singular matrix
