自助序号,剪枝树减逻辑回归_PR曲线下面积差,剪枝树减逻辑回归_ROC曲线下面积差,剪枝树减逻辑回归_对数损失差
331,-0.26138256004883176,-0.33035649014980456,0.024324200222035797
332,-0.32872734261495445,-0.40981658230227347,0.0709487075354287
333,-0.30262673487526187,-0.2970712970893209,0.04096371726215603
334,-0.3749937036855902,-0.32522161332423627,0.0534641995805436
335,-0.39504158079173557,-0.36771275057916075,0.0633093682587742
336,-0.268755491585853,-0.28604276557299946,0.03675955713701301
337,-0.26884730359751247,-0.3102217067333639,0.03347234047065406
338,-0.3741201546676517,-0.37504380053908354,0.07023638100811425
339,-0.29811310020682547,-0.40661773677050567,0.0416632261739423
340,-0.30914809221500006,-0.3376165008454912,0.06511882159407612
341,-0.3309157602164513,-0.3684388627998686,0.06086519502622528
342,-0.2632467644418419,-0.25876294214962886,0.03271069203844568
343,-0.3640532639588142,-0.384621344044254,0.06579072170443706
344,-0.37013192331745326,-0.28421800179460976,0.04286185671115711
345,-0.2758247934359602,-0.37534083607181806,0.05457942152943274
346,-0.33677439727531755,-0.4023552939423482,0.04696961853010867
347,-0.33041373531452545,-0.39809701074566195,0.0614648485694399
348,-0.3575570101372666,-0.27088144270392034,0.05202968570947275
349,-0.3790857752829534,-0.30465454975045825,0.06120479861139411
350,-0.2722562053863642,-0.2820601251925007,0.02749011831888104
351,-0.4081614210189393,-0.3645761489011782,0.08588755262820835
352,-0.3108616175140637,-0.3576642088648207,0.06778457817026373
353,-0.3774242167680254,-0.38480641862191606,0.07943192768212459
354,-0.2813004661545614,-0.3169522416878168,0.042224215884897
355,-0.3111397745964928,-0.28039017345843453,0.04324729054279958
356,-0.36985417313507557,-0.36425314653017105,0.0860117775503183
357,-0.280364236870443,-0.24990904848901863,0.028730674504620496
358,-0.30886055547823477,-0.37947800005810933,0.05689276486064254
359,-0.29738736013424,-0.3064461581178284,0.03686834477487955
360,-0.3548107779923446,-0.25811299335028054,0.05183855722081565
361,-0.2908636764941498,-0.30974012440287396,0.04029739669853205
362,-0.3752972362328978,-0.4344748034673812,0.07320512625329531
363,-0.35199200163239086,-0.3792178359349319,0.08063468619824954
364,-0.3084286092247356,-0.3652875987078245,0.06239573942518284
365,-0.2558600879092571,-0.31401024631148144,0.04883950067832599
366,-0.38037640157825636,-0.38347393431385546,0.09906475502930928
367,-0.3394373811268007,-0.3517613655817793,0.06746095797951462
368,-0.3499667419445436,-0.3656247970505033,0.06125497806321567
369,-0.3323805030855025,-0.1970901076661029,0.0257831098080738
370,-0.3270618632384035,-0.41457840138491336,0.06038048192750334
371,-0.303655548637514,-0.42410844266583314,0.062251078882594624
372,-0.2813237929672592,-0.27755521552901324,0.02795852007377797
373,-0.2659914465024733,-0.45766901055539955,0.060003572854645054
374,-0.1911522256344215,-0.27197506079560985,0.012285135663394231
375,-0.33338071667681957,-0.3536785197065574,0.04854306188012786
376,-0.32921250842392547,-0.35338237119612165,0.05947223985364708
377,-0.24988060007721036,-0.26695334232446627,0.016673883739609485
378,-0.22588193570817766,-0.30021879892900816,0.022535642230944564
379,-0.35525229605658015,-0.3976421945218447,0.07536621087648698
380,-0.36829408882629944,-0.41821091323446563,0.07812873786528546
381,-0.3107151092919702,-0.36045042385392584,0.05648954176213605
382,-0.33031910870492676,-0.38773246181081805,0.07533852384757822
383,-0.35062077214029985,-0.36116541871734537,0.0597910881467682
384,-0.42131522767312723,-0.30121776870158945,0.07950673750291021
385,-0.3240074325182071,-0.36072043023281214,0.056885582705907045
386,-0.37763733949228573,-0.31871922461165647,0.06436262071224275
387,-0.3700915816791494,-0.38676147391712834,0.0573255314204929
