目标,路线,外层留出孕妇,训练内阈值,阈值来源,正则强度倒数,训练内对数损失,剪枝复杂度,叶节点数
任一T13_T18_T21异常,L1正则多因素逻辑回归,B045,0.25726989586844506,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3101672513958868,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B045,0.3745265151515152,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450837,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B046,0.37571478525998164,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.28462603677108994,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B046,0.3943071161048689,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.011896754060819893,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B047,0.37263944194771165,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.28489213406332575,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B047,0.3943071161048689,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B048,0.34688948527251756,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.28450515332390514,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B048,0.39355022831050235,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B049,0.40421681636629014,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.30828448070559766,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B049,0.26420029895366226,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B050,0.35812928852305126,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2847350559467045,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B050,0.40579710144927533,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B051,0.4125705980676656,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.32182023419476047,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B051,0.39789669861554855,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450837,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B052,0.4125705980676656,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3230905489741926,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B052,0.39789669861554855,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00888078585106035,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B053,0.3830831219298342,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2807696085938177,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B053,0.3481133715875501,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B054,0.47105232259934976,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3025887125661613,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B054,0.38245784695201046,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007706509424245556,3.0
