折数,随机种子,折号,候选模型,测试孕妇数,测试事件数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常或提示
5,20250824,5,logit二次随机斜率,33,121,1,lbfgs,0.03841855589077041,0.02945777667420234,0.10344378458480563,
5,20250824,1,logit样条随机斜率,34,127,1,lbfgs,0.027855861310611792,0.020245051851050577,0.12948210239004077,
5,20250824,2,logit样条随机斜率,34,125,1,lbfgs,0.035890967317877207,0.026950728811175995,-0.03572553042752946,
5,20250824,3,logit样条随机斜率,33,117,1,lbfgs,0.025934935369087985,0.01937575038027988,0.2267708194188005,
5,20250824,4,logit样条随机斜率,33,123,1,lbfgs,0.03475624289863954,0.02364111531047826,0.19572196397892938,
5,20250824,5,logit样条随机斜率,33,121,1,lbfgs,0.038442496059285375,0.02948390342360253,0.10232607498652457,
5,20250825,1,原尺度二次随机斜率,34,121,1,lbfgs,0.027407497494869346,0.023166684587464473,-0.02879584911214228,
5,20250825,2,原尺度二次随机斜率,34,126,1,lbfgs,0.02789546420672813,0.022763705932021757,-0.15775957338351487,
5,20250825,3,原尺度二次随机斜率,33,124,1,lbfgs,0.03637406300894641,0.02614967662175453,0.181993251205679,
5,20250825,4,原尺度二次随机斜率,33,123,1,lbfgs,0.03986853634325852,0.029196328656387827,0.09238685234392796,
5,20250825,5,原尺度二次随机斜率,33,119,1,lbfgs,0.03144600639592589,0.022086088570187245,0.18097671358837397,
5,20250825,1,logit线性随机斜率,34,121,1,lbfgs,0.025304581828409927,0.020893275278470475,0.12302186278029081,
5,20250825,2,logit线性随机斜率,34,126,1,lbfgs,0.026698200278262925,0.021166379198987114,-0.06051097748191614,
5,20250825,3,logit线性随机斜率,33,124,1,lbfgs,0.039255052299325126,0.027668589032068078,0.04728198408454498,
5,20250825,4,logit线性随机斜率,33,123,1,lbfgs,0.04225095718546598,0.02981301000857512,-0.01932646185168707,
5,20250825,5,logit线性随机斜率,33,119,1,lbfgs,0.032920874374598855,0.02265823857310656,0.10234805561988247,
5,20250825,1,logit二次随机截距,34,121,1,powell,0.025193494150272836,0.020969618864090923,0.13070486852989083,lbfgs:LinAlgError:Singular matrix
5,20250825,2,logit二次随机截距,34,126,1,lbfgs,0.02698516535238788,0.021410535529398096,-0.08343126038175219,
5,20250825,3,logit二次随机截距,33,124,1,powell,0.03828481493684457,0.026536503695195914,0.09379519329191266,lbfgs:LinAlgError:Singular matrix
5,20250825,4,logit二次随机截距,33,123,1,lbfgs,0.04163335821749803,0.029872799363312753,0.010255537304949214,
5,20250825,5,logit二次随机截距,33,119,1,lbfgs,0.032652104137858386,0.022877847302986264,0.11694531542614739,
5,20250825,1,logit二次随机斜率,34,121,1,lbfgs,0.025226890798891087,0.021015096807882192,0.12839865518184135,
5,20250825,2,logit二次随机斜率,34,126,1,lbfgs,0.02702502734691093,0.021423294311671382,-0.08663447433042704,
5,20250825,3,logit二次随机斜率,33,124,1,lbfgs,0.03815820057076659,0.026412800170709513,0.09977922729728084,
5,20250825,4,logit二次随机斜率,33,123,1,lbfgs,0.041577884639872505,0.029919781184148914,0.012891312572179903,
5,20250825,5,logit二次随机斜率,33,119,1,lbfgs,0.03260841585897314,0.022847811453406894,0.11930677610649354,
5,20250825,1,logit样条随机斜率,34,121,1,lbfgs,0.02534343222921816,0.021102673851106753,0.12032692736387574,
5,20250825,2,logit样条随机斜率,34,126,1,lbfgs,0.027009801704247046,0.02142191299438486,-0.08541042023903356,
5,20250825,3,logit样条随机斜率,33,124,1,lbfgs,0.038154167578431306,0.026428966427438846,0.09996950836721641,
5,20250825,4,logit样条随机斜率,33,123,1,lbfgs,0.04159083286834622,0.029933892389230353,0.012276403992379059,
5,20250825,5,logit样条随机斜率,33,119,1,lbfgs,0.03261533707979621,0.02288095986234016,0.11893287758923865,
6,20250824,1,原尺度二次随机斜率,28,103,1,lbfgs,0.028118822072781074,0.021597208081960854,0.13809046860399976,
6,20250824,2,原尺度二次随机斜率,28,101,1,lbfgs,0.027065736242232317,0.02152967377112072,0.21420912601433317,
6,20250824,3,原尺度二次随机斜率,28,109,1,lbfgs,0.03554367914234684,0.027263963953054228,0.1181415412011616,
6,20250824,4,原尺度二次随机斜率,28,97,1,lbfgs,0.02639223119694036,0.021190509196410894,0.08595390679099524,
6,20250824,5,原尺度二次随机斜率,28,104,1,lbfgs,0.03497520518424518,0.024294037150677367,0.26975912681905334,
6,20250824,6,原尺度二次随机斜率,27,99,1,lbfgs,0.03840817664028266,0.029236859372812188,0.14421937321421374,
6,20250824,1,logit线性随机斜率,28,103,1,lbfgs,0.02852506131645481,0.020595424880642758,0.11300614868378078,
6,20250824,2,logit线性随机斜率,28,101,1,lbfgs,0.028817165073682937,0.021999709889060564,0.10922135135314781,
6,20250824,3,logit线性随机斜率,28,109,1,lbfgs,0.03666353698843825,0.027292313403626863,0.06169756187439146,
6,20250824,4,logit线性随机斜率,28,97,1,lbfgs,0.024701235179973823,0.019185773921470844,0.19933061286126275,
6,20250824,5,logit线性随机斜率,28,104,1,lbfgs,0.03660832401179775,0.02390418632655557,0.1999718121622448,
6,20250824,6,logit线性随机斜率,27,99,1,lbfgs,0.040950101170163955,0.030684984742575052,0.027196715647465064,
6,20250824,1,logit二次随机截距,28,103,1,lbfgs,0.02796947219431612,0.020203545039316616,0.147222019460587,
6,20250824,2,logit二次随机截距,28,101,1,lbfgs,0.02833324104358781,0.021818496741883183,0.1388876797110824,
6,20250824,3,logit二次随机截距,28,109,1,lbfgs,0.03650513933772093,0.02711721510862669,0.06978755327255315,
6,20250824,4,logit二次随机截距,28,97,1,lbfgs,0.02483068808269326,0.019356601376260496,0.19091641215329858,
6,20250824,5,logit二次随机截距,28,104,1,lbfgs,0.03592031924699001,0.02358640986686367,0.229760172261273,
6,20250824,6,logit二次随机截距,27,99,1,powell,0.040269088567785084,0.0305572458662149,0.059283697701855154,lbfgs:LinAlgError:Singular matrix
6,20250824,1,logit二次随机斜率,28,103,1,lbfgs,0.027976217968045447,0.020215432397048087,0.14681061798831374,
6,20250824,2,logit二次随机斜率,28,101,1,lbfgs,0.028332042315176,0.021831067135691565,0.13896054239321576,
6,20250824,3,logit二次随机斜率,28,109,1,lbfgs,0.036554292756381626,0.027281444990873437,0.06728084296881887,
6,20250824,4,logit二次随机斜率,28,97,1,lbfgs,0.0249258556904284,0.019429088716920714,0.18470264120004298,
6,20250824,5,logit二次随机斜率,28,104,1,lbfgs,0.03576428686253076,0.023511315896672495,0.23643724710546699,
