自助序号,异常类型,路线,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,ROC曲线下面积,PR曲线下面积,实际异常比例,预测异常比例,布里尔分数,对数损失,校准截距,校准斜率,校准实际异常比例,校准平均预测概率
176,T13,L1正则多因素逻辑回归,1.0833333333333333,3.45,2.416666666666667,140.05,0.3095238095238095,0.9759581881533101,0.2389705882352941,0.2697095435684647,0.25175218086677176,0.6427409988385598,0.9600907029478459,0.7376735641991989,0.21463178996341342,0.023809523809523808,0.030839002267573697,0.022759216339714252,0.10509567078829996,-1.2805514567535208,0.6985266634633244,0.023809523809523808,0.036742308524823915
176,T18,对应染色体三标准差Z值规则,0.0,6.1690476190476184,9.75,131.08095238095237,0.0,0.9550524763639516,0.0,,-0.055783548157460505,0.4775262381819758,0.8917071590540977,0.6604963823421627,0.09768717276972286,0.0663265306122449,0.041966310333657275,,,,,,
176,T18,L1正则多因素逻辑回归,3.2,2.5,6.550000000000001,134.75,0.3282051282051282,0.9817850637522769,0.5614035087719298,0.41423948220064727,0.39957465089590244,0.6549950959787025,0.9384353741496598,0.854796310752595,0.5193795830197471,0.0663265306122449,0.03877551020408163,0.04470578249775308,0.17241029747227216,-0.30124037601920667,0.8281777813503963,0.0663265306122449,0.06536456201506066
176,T21,对应染色体三标准差Z值规则,0.0,0.0,2.1666666666666665,144.83333333333331,0.0,1.0,,,,0.5,0.9852607709750567,0.4264315852923447,0.0206582374878373,0.014739229024943309,0.0,,,,,,
176,T21,L1正则多因素逻辑回归,0.3333333333333333,0.0,1.8333333333333333,144.83333333333331,0.15384615384615385,1.0,1.0,0.2666666666666667,0.3897731095433303,0.5769230769230769,0.987528344671202,0.5310583930837094,0.17158236327734538,0.014739229024943309,0.0022675736961451248,0.013362759767208356,0.07682298627698324,-1.3925442181473515,0.7530719830200138,0.014739229024943309,0.024825470974535933
177,T13,对应染色体三标准差Z值规则,0.2,3.4595238095238097,4.7,138.6404761904762,0.04081632653061224,0.9756543011293187,0.05465191932335719,0.046731571627260084,0.01897616808218835,0.5082353138299655,0.9444930353093618,0.42277004632488707,0.032545512525055276,0.03333333333333333,0.024894719792678977,,,,,,
177,T13,L1正则多因素逻辑回归,0.8333333333333333,4.25,4.066666666666666,137.85,0.17006802721088435,0.97009148486981,0.16393442622950818,0.1669449081803005,0.13769769185997116,0.5700797560403472,0.9434240362811792,0.6268590308681364,0.16878534088878333,0.03333333333333333,0.03458049886621315,0.031227115056598986,0.14898611099431713,-1.7228484069020888,0.4440844568978874,0.03333333333333333,0.03885735140111843
177,T18,对应染色体三标准差Z值规则,0.0,6.978571428571429,11.916666666666666,128.10476190476192,0.0,0.948338767956288,0.0,,-0.06630748003710235,0.474169383978144,0.8714609653385165,0.569035702114049,0.09496437534427231,0.0810657596371882,0.04747327502429543,,,,,,
177,T18,L1正则多因素逻辑回归,4.5,3.5,7.416666666666668,131.58333333333331,0.3776223776223776,0.974090067859346,0.5625,0.4518828451882845,0.4231687832767208,0.6758562227408618,0.9257369614512472,0.8945896546390071,0.5647068003696545,0.0810657596371882,0.05442176870748299,0.05172139900920633,0.18260631734199168,-0.07274749026390036,0.9053860959886986,0.0810657596371882,0.07716766084287026
177,T21,对应染色体三标准差Z值规则,0.0,0.0,3.4166666666666665,143.58333333333331,0.0,1.0,,,,0.5,0.9767573696145125,0.47034134747283957,0.024272385845092913,0.023242630385487528,0.0,,,,,,
177,T21,L1正则多因素逻辑回归,0.5833333333333333,0.5,2.833333333333333,143.08333333333331,0.17073170731707318,0.9965177016831108,0.5384615384615384,0.25925925925925924,0.29463505008266205,0.583624704500092,0.9773242630385489,0.5469455740905141,0.21248408386373283,0.023242630385487528,0.0073696145124716545,0.020151196192945687,0.1057363908043606,-0.8025411860294527,0.7781972182607215,0.023242630385487528,0.023949679315004004
178,T13,对应染色体三标准差Z值规则,0.0,4.609523809523809,5.166666666666666,137.2238095238095,0.0,0.9675004196743328,0.0,,-0.03434026379127955,0.4837502098371664,0.933495302883058,0.3384828727745981,0.02690456430512192,0.03514739229024943,0.03135730482669258,,,,,,
178,T13,L1正则多因素逻辑回归,1.0833333333333333,3.7,4.083333333333333,138.13333333333333,0.20967741935483872,0.9739130434782609,0.2264808362369338,0.21775544388609713,0.19054779278429562,0.5917952314165498,0.9470521541950113,0.6017463867393744,0.17947495370824973,0.03514739229024943,0.03253968253968254,0.03227171690302382,0.15737255410916232,-1.7965739997216918,0.3911792066008288,0.03514739229024943,0.03318695622070773
178,T18,对应染色体三标准差Z值规则,0.0,5.402380952380952,8.55,133.04761904761907,0.0,0.9609795525288483,0.0,,-0.04854016012689687,0.48048977626442413,0.905085843861354,0.6253433364050283,0.08125274828629213,0.05816326530612244,0.03675089083252348,,,,,,
178,T18,L1正则多因素逻辑回归,3.75,2.6666666666666665,4.800000000000001,135.78333333333333,0.43859649122807015,0.9807391356687132,0.5844155844155845,0.5011135857461024,0.48036310275277744,0.7096678134483917,0.9492063492063492,0.9097372592966039,0.563791501147717,0.05816326530612244,0.04365079365079365,0.036992617702271316,0.13733892311305218,-0.20029502495396617,1.0131378338066943,0.05816326530612244,0.06697369530653759
178,T21,对应染色体三标准差Z值规则,0.0,0.0,3.8333333333333335,143.16666666666666,0.0,1.0,,,,0.5,0.973922902494331,0.5235316235113775,0.03583580579978604,0.02607709750566893,0.0,,,,,,
178,T21,L1正则多因素逻辑回归,0.3333333333333333,0.0,3.5,143.16666666666666,0.08695652173913043,1.0,1.0,0.16,0.291344165764309,0.5434782608695652,0.9761904761904762,0.5778407652983755,0.1240211446656515,0.02607709750566893,0.0022675736961451248,0.02395827288683209,0.11741707675473359,-0.8253855905337146,0.7370247670774372,0.02607709750566893,0.02356825752861333
179,T13,对应染色体三标准差Z值规则,0.0,3.426190476190476,3.25,140.32380952380953,0.0,0.9761656314699794,0.0,,-0.023227683174221237,0.4880828157349897,0.9545837382572077,0.30241673302542854,0.017001168194136922,0.022108843537414966,0.02330741820537739,,,,,,
179,T13,L1正则多因素逻辑回归,0.75,3.9,2.5,139.85,0.23076923076923078,0.9728695652173913,0.16129032258064516,0.189873417721519,0.17108065943695444,0.6018193979933111,0.9564625850340136,0.5863591867070127,0.18657104896134868,0.022108843537414966,0.031632653061224494,0.022296888521030362,0.115908872290419,-2.3684245233446206,0.3640658431547895,0.022108843537414966,0.03548968955563348
179,T18,对应染色体三标准差Z值规则,0.0,6.892857142857142,11.750000000000002,128.35714285714286,0.0,0.9490361763929231,0.0,,-0.0653762185605956,0.4745180881964616,0.8731778425655977,0.6289641120144128,0.10697445274461134,0.07993197278911565,0.04689018464528668,,,,,,
179,T18,L1正则多因素逻辑回归,4.5,2.6666666666666665,7.25,132.58333333333331,0.3829787234042553,0.9802834257547752,0.627906976744186,0.47577092511013214,0.4574501353114506,0.6816310745795153,0.9325396825396826,0.835974208143949,0.5506701569074774,0.07993197278911565,0.048752834467120185,0.052251925123732126,0.20573920692633654,-0.28622692910565184,0.7521335043446573,0.07993197278911565,0.0712055635307103
179,T21,对应染色体三标准差Z值规则,0.0,0.0,2.9166666666666665,144.08333333333334,0.0,1.0,,,,0.5,0.9801587301587302,0.6654576787337259,0.03379259613896141,0.01984126984126984,0.0,,,,,,
179,T21,L1正则多因素逻辑回归,0.0,0.0,2.9166666666666665,144.08333333333334,0.0,1.0,,,,0.5,0.9801587301587302,0.32426623859491743,0.017832988681138567,0.01984126984126984,0.0,0.019987727738551595,0.11273729694188867,-7.793497641472163,-0.9193357872097252,0.01984126984126984,0.022811769066173777
180,T13,对应染色体三标准差Z值规则,0.2,3.554761904761905,4.95,138.2952380952381,0.038834951456310676,0.9749399936216997,0.05326569435637286,0.04491978609625668,0.01605376355529325,0.5068874725390052,0.9421444768383542,0.36782966081315566,0.03343604524576581,0.03503401360544217,0.025542597991577584,,,,,,
180,T13,L1正则多因素逻辑回归,1.0833333333333333,3.4,4.066666666666666,138.45,0.21035598705501618,0.9760310186817059,0.24163568773234198,0.22491349480968859,0.1992969137036301,0.593193502868361,0.9492063492063492,0.5737699975767675,0.16750616549706318,0.03503401360544217,0.030498866213151926,0.03320823543150153,0.1631082662065773,-2.208378257527787,0.28489068943099594,0.03503401360544217,0.03456643151594158
180,T18,对应染色体三标准差Z值规则,0.0,5.421428571428572,9.716666666666667,131.86190476190475,0.0,0.9605092006451724,0.0,,-0.05206044206776121,0.4802546003225862,0.8970197602850664,0.6353285390533338,0.0929629736009987,0.06609977324263039,0.03688046647230321,,,,,,
180,T18,L1正则多因素逻辑回归,2.0,3.75,7.716666666666668,133.53333333333333,0.20583190394511144,0.9726842296952775,0.34782608695652173,0.2586206896551724,0.22877938151322946,0.5892580668201944,0.9219954648526077,0.8314705101981109,0.4267732678290716,0.06609977324263039,0.0391156462585034,0.049484752719087075,0.18920336496226725,-0.27074965630894104,0.8030619547770722,0.06609977324263039,0.06063683098587988
180,T21,对应染色体三标准差Z值规则,0.0,0.0,4.083333333333333,142.91666666666666,0.0,1.0,,,,0.5,0.9722222222222222,0.5771578168960212,0.04088086202246649,0.027777777777777776,0.0,,,,,,
180,T21,L1正则多因素逻辑回归,0.3333333333333333,0.0,3.75,142.91666666666663,0.0816326530612245,1.0,1.0,0.1509433962264151,0.2820380374088831,0.5408163265306123,0.9744897959183674,0.5472114510110585,0.1190085823784506,0.027777777777777776,0.0022675736961451248,0.02567031133362992,0.12648118850264786,-1.4017297255291876,0.5594260738132495,0.027777777777777776,0.023595853329292513
181,T13,对应染色体三标准差Z值规则,0.4,4.8500000000000005,9.45,132.3,0.04060913705583757,0.964637258476121,0.07619047619047618,0.05298013245033113,0.007068640020041981,0.5026231977659793,0.9027210884353742,0.5323580206540248,0.10321569614015627,0.06700680272108844,0.03571428571428571,,,,,,
181,T13,L1正则多因素逻辑回归,1.1666666666666665,0.75,8.683333333333334,136.4,0.11844331641285955,0.994531534815895,0.608695652173913,0.19830028328611896,0.2490093999781885,0.5564874256143773,0.9358276643990929,0.5656740593830113,0.26250588354372,0.06700680272108844,0.013038548752834465,0.057658933991432244,0.27290222112375695,-1.2660359909665602,0.3552514509630494,0.06700680272108844,0.03676238593464748
181,T18,对应染色体三标准差Z值规则,0.0,5.892857142857142,14.116666666666665,126.99047619047619,0.0,0.9556539033523858,0.0,,-0.06660690905974108,0.4778269516761929,0.8638807904114026,0.5530530667217637,0.10685874035797063,0.09603174603174604,0.04008746355685131,,,,,,
181,T18,L1正则多因素逻辑回归,4.35,2.583333333333333,9.766666666666666,130.3,0.30814639905548996,0.9805593879342781,0.6274038461538461,0.4133016627078385,0.4012530894290318,0.644352893494884,0.9159863945578232,0.8558425079312946,0.5775820448207925,0.09603174603174604,0.047165532879818596,0.05977879104226858,0.2241017612515489,0.07227240413690869,0.826614898249363,0.09603174603174604,0.07556755739570968
181,T21,对应染色体三标准差Z值规则,0.0,0.0,3.4999999999999996,143.5,0.0,1.0,,,,0.5,0.9761904761904762,0.3913366043281423,0.022142486301813202,0.023809523809523808,0.0,,,,,,
181,T21,L1正则多因素逻辑回归,1.1666666666666665,1.0,2.333333333333333,142.5,0.3333333333333333,0.9930313588850174,0.5384615384615384,0.41176470588235287,0.4128885383475083,0.6631823461091754,0.9773242630385487,0.6383966594767987,0.36211651272963863,0.023809523809523808,0.014739229024943309,0.018127598019030744,0.09592308188956186,0.17718303064617946,1.1262882756102246,0.023809523809523808,0.028782956355530367
182,T13,对应染色体三标准差Z值规则,0.8,2.354761904761905,5.066666666666666,138.7785714285714,0.13636363636363638,0.9833153384168971,0.25358490566037734,0.17735550277117973,0.16165804693033428,0.5598394873902668,0.9495140913508262,0.4905435627787423,0.09562193302568228,0.0399092970521542,0.02146096533851636,,,,,,
182,T13,L1正则多因素逻辑回归,1.3333333333333333,5.25,4.533333333333333,135.88333333333333,0.22727272727272727,0.9628011336797355,0.20253164556962025,0.21419009370816597,0.179887360919009,0.5950369304762314,0.9334467120181406,0.6445922847818217,0.16956591745455843,0.0399092970521542,0.04478458049886621,0.03833626574153154,0.17138184587642916,-1.5806643393238433,0.4362896539996688,0.0399092970521542,0.04027862775191376
182,T18,对应染色体三标准差Z值规则,0.0,6.173809523809524,12.016666666666667,128.80952380952382,0.0,0.9542624309879527,0.0,,-0.06247220435280894,0.47713121549397636,0.8762552640103661,0.6135875635634087,0.10565482571268299,0.08174603174603173,0.041998704243602206,,,,,,
182,T18,L1正则多因素逻辑回归,3.95,4.75,8.066666666666666,130.23333333333335,0.3287101248266297,0.9648104704284479,0.4540229885057472,0.38133547868061146,0.34080028131592616,0.6467602976275388,0.91281179138322,0.8466219976962817,0.5362175727455223,0.08174603174603173,0.05918367346938775,0.05456493789344503,0.2064647308239982,-0.31772955165563216,0.7617033097034114,0.08174603174603173,0.07686452547723402
182,T21,对应染色体三标准差Z值规则,0.0,0.0,3.8333333333333335,143.16666666666669,0.0,1.0,,,,0.5,0.973922902494331,0.6270236950375634,0.04633798413892304,0.02607709750566893,0.0,,,,,,
