概率阈值,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,阳性判定比例,马修斯相关系数最大参考点标志
0.09524246257341556,12.516666666666666,38.14047619047619,4.35,91.99285714285713,0.742094861660079,0.7069123243559718,0.24708591840571534,0.3707334273624823,0.3011147940857398,0.7245035930080255,0.7109491415613863,0.3446064139941691,0
0.09501681242118677,12.516666666666666,38.39047619047619,4.35,91.74285714285713,0.742094861660079,0.7049912177985949,0.2458725036247135,0.3693658879325487,0.29947814968984554,0.723543039729337,0.7092484612892775,0.3463070942662779,0
0.09493333426051452,12.516666666666666,38.64047619047619,4.35,91.49285714285713,0.742094861660079,0.7030701112412178,0.24467094852462065,0.3680084004200209,0.2978495011098406,0.7225824864506484,0.7075477810171688,0.3480077745383867,0
0.09332478364052556,12.516666666666666,38.84047619047619,4.35,91.29285714285714,0.742094861660079,0.7015332259953162,0.24371812702828002,0.3669295735324911,0.2965522648713648,0.7218140438276976,0.7061872367994817,0.34936831875607377,0
0.0929046078864129,12.516666666666666,39.00714285714287,4.35,91.12619047619049,0.742094861660079,0.7002524882903981,0.24292975970425132,0.3660353711182286,0.2954750493643664,0.7211736749752385,0.7050534499514091,0.3505021056041464,0
0.09270755484408573,12.516666666666666,39.25714285714287,4.35,90.87619047619047,0.742094861660079,0.6983313817330211,0.24175672568406525,0.36470220958063054,0.2938656546249097,0.72021312169655,0.7033527696793003,0.35220278587625525,0
0.09175922655992313,12.516666666666666,39.50714285714287,4.35,90.62619047619049,0.742094861660079,0.696410275175644,0.24059496567505714,0.3633787239925347,0.2922638796526474,0.7192525684178614,0.7016520894071914,0.35390346614836404,0
0.09158225368723759,12.516666666666666,39.75714285714287,4.35,90.37619047619047,0.742094861660079,0.694489168618267,0.2394443179230243,0.3620648093942628,0.2906696196694857,0.718292015139173,0.6999514091350826,0.3556041464204729,0
0.09094870381786656,12.516666666666666,40.00714285714286,4.35,90.12619047619047,0.742094861660079,0.6925680620608899,0.23830462375339978,0.36076036233873177,0.2890827714861417,0.7173314618604845,0.6982507288629737,0.35730482669258173,0
0.09068154081031313,12.516666666666666,40.25714285714286,4.35,89.87619047619049,0.742094861660079,0.6906469555035128,0.23717572749830812,0.359465280864303,0.2875032334669971,0.716370908581796,0.696550048590865,0.3590055069646906,0
0.09001614450158853,12.516666666666666,40.423809523809524,4.35,89.70952380952382,0.742094861660079,0.689366217798595,0.23642905329435573,0.35860704662505544,0.28645421982161495,0.715730539729337,0.6954162617427924,0.3601392938127632,0
0.08966174790865784,12.516666666666666,40.673809523809524,4.35,89.45952380952382,0.742094861660079,0.6874451112412179,0.23531781557743955,0.35732735182164216,0.28488664366417343,0.7147699864506485,0.6937155814706836,0.36183997408487206,0
0.08953772223541064,12.516666666666666,40.923809523809524,4.35,89.20952380952382,0.742094861660079,0.6855240046838409,0.23421697482735573,0.35605675776355444,0.2833261139804768,0.71380943317196,0.6920149011985747,0.3635406543569809,0
0.08863074646243234,12.516666666666666,41.17380952380953,4.35,88.9595238095238,0.742094861660079,0.6836028981264637,0.23312638580931258,0.3547951677127623,0.2817725345450156,0.7128488798932713,0.6903142209264658,0.36524133462908975,0
0.08857928341340895,12.516666666666666,41.37380952380953,4.35,88.75952380952381,0.742094861660079,0.6820660128805621,0.2322611999646549,0.3537923144222357,0.28053461140697433,0.7120804372703206,0.6889536767087787,0.36660187884677675,0
0.08796952004551441,12.516666666666666,41.62380952380953,4.35,88.50952380952381,0.742094861660079,0.680144906323185,0.23118870662738025,0.3525466921503538,0.27899330438237546,0.711119883991632,0.6872529964366699,0.3683025591188856,0
0.08703962627289923,12.516666666666666,41.87380952380953,4.35,88.25952380952381,0.742094861660079,0.678223799765808,0.23012607249168268,0.3513098102111734,0.27745868553079095,0.7101593307129435,0.685552316164561,0.37000323939099444,0
0.08565312285696874,12.516666666666666,42.12380952380953,4.35,88.00952380952381,0.742094861660079,0.676302693208431,0.229073162229291,0.35008157693204134,0.2759306637905366,0.709198777434255,0.6838516358924522,0.3717039196631033,0
0.08521735478114735,12.516666666666666,42.37380952380953,4.35,87.75952380952381,0.742094861660079,0.674381586651054,0.22802984297735748,0.34886190191784455,0.2744091493889663,0.7082382241555665,0.6821509556203434,0.37340459993521213,0
0.08446363314144092,12.516666666666666,42.57380952380952,4.35,87.55952380952381,0.742094861660079,0.6728447014051523,0.22720200535914944,0.34789226391370526,0.2731965636302396,0.7074697815326156,0.6807904114026563,0.3747651441528992,0
