删去孕妇,被删事件数,收敛标志,孕周效应_百分点,妇间BMI效应_百分点,BMI个体内效应_百分点,孕周效应变化_百分点,妇间BMI效应变化_百分点,BMI个体内效应变化_百分点,孕周系数变化_主模型标准误,妇间BMI系数变化_主模型标准误,BMI个体内系数变化_主模型标准误,最大标准化系数变化,最大相对变化,任一核心效应方向翻转标志,警告或异常
A059,4,1,0.359033045853,-0.190205589518,-0.0770943749119,0.000866771765628,0.000812661536404,-0.00179254070768,0.0422446282712,0.0100349245477,-0.0159068477048,0.0422446282712,0.0238047416324,0,The MLE may be on the boundary of the parameter space.
A071,4,1,0.355387348529,-0.190703751576,-0.0775935941966,-0.00277892555873,0.000314499478868,-0.00229175999238,-0.0420469569175,0.00463771385856,-0.0192853513448,0.0420469569175,0.0304343183217,0,The MLE may be on the boundary of the parameter space.
A114,3,1,0.36012417395,-0.19252847341,-0.0768559688936,0.00195789986257,-0.00151022235542,-0.00155413468935,0.041950015033,-0.0241068683286,-0.0118959870957,0.041950015033,0.0206387361713,0,The MLE may be on the boundary of the parameter space.
A012,4,1,0.359502000109,-0.193349096903,-0.0745370539905,0.00133572602209,-0.00233084584857,0.00076478021368,-0.0345134388388,-0.0412748774095,0.00717296083522,0.0412748774095,0.0122022154203,0,The MLE may be on the boundary of the parameter space.
A040,4,1,0.359464325908,-0.189857629093,-0.0717423859727,0.00129805182088,0.0011606219617,0.00355944823155,0.041226471691,0.0147084353155,0.0281891875219,0.041226471691,0.0472690774291,0,The MLE may be on the boundary of the parameter space.
A003,4,1,0.359736705403,-0.191132963908,-0.0725877370932,0.00157043131576,-0.000114712853168,0.00271409711103,0.04059157117,-0.00108418299171,0.0226937581982,0.04059157117,0.0360429083795,0,The MLE may be on the boundary of the parameter space.
A155,4,1,0.356064817493,-0.191270844708,-0.0770918089301,-0.00210145659392,-0.000252593653951,-0.00178997472589,-0.0404392944705,-0.00376708255109,-0.0146343599665,0.0404392944705,0.0237706656791,0,The MLE may be on the boundary of the parameter space.
A131,3,1,0.358956966951,-0.19350145286,-0.0758649112307,0.000790692863827,-0.00248320180608,-0.000563077026469,-0.00596913146459,-0.0401615306133,-0.00314839417213,0.0401615306133,0.0129998143757,0,The MLE may be on the boundary of the parameter space.
A141,4,1,0.355965755662,-0.189279292565,-0.0731783252636,-0.00220051842538,0.00173895848983,0.00212350894063,-0.0398008302364,0.0264814545007,0.0162956419562,0.0398008302364,0.0281999630297,0,The MLE may be on the boundary of the parameter space.
A058,4,1,0.35462875079,-0.188959728183,-0.0788030515772,-0.00353752329686,0.00205852287126,-0.00350121737304,-0.0397586600184,0.0214462383408,-0.0324398102415,0.0397586600184,0.0464957780915,0,The MLE may be on the boundary of the parameter space.
A016,4,1,0.357728779974,-0.188752373412,-0.0731996949136,-0.000437494113376,0.00226587764226,0.00210213929061,0.014709370881,0.0386323115783,0.0163794635671,0.0386323115783,0.0279161764495,0,The MLE may be on the boundary of the parameter space.
A119,4,1,0.359155054769,-0.190656026879,-0.0777959277762,0.000988780682143,0.000362224175099,-0.00249409357195,0.0377433667083,0.010374026538,-0.0201535771818,0.0377433667083,0.0331212858001,0,The MLE may be on the boundary of the parameter space.
A018,4,1,0.357025426178,-0.193050137933,-0.0747955920465,-0.00114084790949,-0.00203188687825,0.000506242157715,-0.0371964998511,-0.0375269189558,0.00467791944822,0.0375269189558,0.0106371347608,0,The MLE may be on the boundary of the parameter space.
A104,4,1,0.359186502023,-0.191885237475,-0.0798634565233,0.00102022793611,-0.000866986420542,-0.00456162231914,-0.00655236900403,-0.0152326298183,-0.0374901058764,0.0374901058764,0.0605778380745,0,The MLE may be on the boundary of the parameter space.
A146,4,1,0.354683791668,-0.190355475143,-0.0749645632688,-0.00348248241957,0.000662775910991,0.000337270935433,-0.0373431530619,0.010472736822,0.00234949981211,0.0373431530619,0.00972308860863,0,The MLE may be on the boundary of the parameter space.
A132,4,1,0.360265435923,-0.193207086301,-0.0728562429914,0.00209916183545,-0.00218883524634,0.00244559121284,-0.000378242993547,-0.0363097768712,0.0214249011895,0.0363097768712,0.0324771798548,0,The MLE may be on the boundary of the parameter space.
A080,3,1,0.359108649378,-0.191639530836,-0.0797009201097,0.000942375290631,-0.000621279781668,-0.00439908590548,-0.000314552930371,-0.0101721456404,-0.0361134328612,0.0361134328612,0.0584193725421,0,The MLE may be on the boundary of the parameter space.
A036,4,1,0.35923669531,-0.189347331108,-0.0764580362661,0.0010704212231,0.00167091994659,-0.00115620206191,0.0357242085418,0.027441240523,-0.0105734392217,0.0357242085418,0.0153542350479,0,The MLE may be on the boundary of the parameter space.
A083,3,1,0.36122495569,-0.190426589065,-0.0749007805345,0.00305868160238,0.000591661989551,0.000401053669753,0.0350757048278,0.0287090618833,0.00609142485581,0.0350757048278,0.00853983700776,0,The MLE may be on the boundary of the parameter space.
A092,4,1,0.357470029192,-0.193012134294,-0.0759943934994,-0.00069624489495,-0.00199388323914,-0.000692559295176,0.0160181330637,-0.0348247912632,-0.00493881850311,0.0348247912632,0.0104381818393,0,The MLE may be on the boundary of the parameter space.
A149,4,1,0.359999948495,-0.191153067658,-0.0753927061921,0.00183367440791,-0.000134816603508,-9.08719879167e-05,0.0339936079657,0.00566130127123,0.000614796896005,0.0339936079657,0.00511961773225,0,The MLE may be on the boundary of the parameter space.
A062,4,1,0.35767828911,-0.190794929289,-0.0723205303495,-0.000487984976829,0.000223321765003,0.0029813038547,0.0319772679054,-0.0166137270377,0.021404384657,0.0319772679054,0.0395913842764,0,The MLE may be on the boundary of the parameter space.
A028,4,1,0.358081757928,-0.192135432882,-0.0782286966804,-8.45161588282e-05,-0.00111718182806,-0.00292686247621,-0.00977833771205,-0.0292278779073,-0.025457167214,0.0292278779073,0.0388684088128,0,The MLE may be on the boundary of the parameter space.
A049,4,1,0.358690705635,-0.192024031824,-0.0727508073407,0.000524431547801,-0.00100578077005,0.0025510268635,0.0113917191266,-0.0277982649832,0.0199333746565,0.0277982649832,0.0338773535925,0,The MLE may be on the boundary of the parameter space.
A011,4,1,0.359085313719,-0.19058957176,-0.0721072899018,0.000919039631378,0.000428679294373,0.00319454430244,-0.0164876026714,0.0142758144628,0.0273881529822,0.0273881529822,0.0424231937535,0,The MLE may be on the boundary of the parameter space.
A037,4,1,0.357192905856,-0.192439884488,-0.0762157014243,-0.000973368230857,-0.0014216334334,-0.000913867220085,-0.0110041275292,-0.0273597587056,-0.00741834971008,0.0273597587056,0.0121360552468,0,The MLE may be on the boundary of the parameter space.
A079,3,1,0.358961856591,-0.190981422955,-0.0741216873727,0.000795582503639,3.68280992823e-05,0.00118014683148,0.0263824994043,0.00802149930189,0.0109618241771,0.0263824994043,0.01567221893,0,The MLE may be on the boundary of the parameter space.
A123,1,1,0.358395310991,-0.192599273668,-0.073098642053,0.000229036903865,-0.00158102261359,0.00220319215117,-0.0194521321862,-0.0258862608509,0.019156564429,0.0258862608509,0.0292581472212,0,The MLE may be on the boundary of the parameter space.
A126,4,1,0.359718951823,-0.192547551417,-0.0776118692074,0.00155267773547,-0.00152930036261,-0.00231003500317,-0.00126582626636,-0.0241282308913,-0.0180972715032,0.0241282308913,0.0306770084365,0,The MLE may be on the boundary of the parameter space.
A075,2,1,0.358485227884,-0.190916182061,-0.073479806639,0.000318953796538,0.000102068993168,0.00182202756519,-0.0219707732755,0.00253786866679,0.0151892774918,0.0219707732755,0.0241963238272,0,The MLE may be on the boundary of the parameter space.
A111,4,1,0.357580781792,-0.192151887265,-0.075042114874,-0.000585492295632,-0.00113363621026,0.000259719330225,-0.0192755033586,-0.021474403045,0.002336146367,0.021474403045,0.00593470102464,0,The MLE may be on the boundary of the parameter space.
A025,4,1,0.360371090376,-0.190706989598,-0.0727853781829,0.00220481628856,0.000311261456102,0.00251645602131,0.00773709161001,0.00556407969861,0.0207642084819,0.0207642084819,0.0334182566455,0,The MLE may be on the boundary of the parameter space.
A089,4,1,0.359089020833,-0.190218385967,-0.0763305312243,0.000922746745329,0.000799865087786,-0.00102869702013,0.0206001989479,0.0071099906998,-0.0100051756264,0.0206001989479,0.0136609822457,0,The MLE may be on the boundary of the parameter space.
A134,4,1,0.357548410064,-0.191257261743,-0.0743816790916,-0.000617864023092,-0.000239010688573,0.000920155112637,-0.0204756268311,-0.00312383797754,0.00789577539512,0.0204756268311,0.0122195577619,0,The MLE may be on the boundary of the parameter space.
A097,4,1,0.359995492338,-0.190433047556,-0.0731897777634,0.00182921825072,0.000585203498425,0.00211205644082,0.00498147838476,0.0181925591798,0.0185558189292,0.0185558189292,0.0280478751034,0,The MLE may be on the boundary of the parameter space.
A164,1,1,0.358346003235,-0.192188148089,-0.0734910400694,0.000179729148094,-0.00116989703465,0.00181079413484,-0.0106858835695,-0.0185530911544,0.0157726673247,0.0185530911544,0.024047145119,0,The MLE may be on the boundary of the parameter space.
A055,3,1,0.358402392117,-0.190275151609,-0.0746425193103,0.000236118029961,0.000743099445711,0.000659314893856,-0.00064806707687,0.0157884320944,0.00562698230956,0.0157884320944,0.00875562860883,0,The MLE may be on the boundary of the parameter space.
