自助序号,有效标志,BMI每增加1单位的时间尺度倍数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则选择两组标志,两组切点,两组低BMI组人数,两组高BMI组人数,一组方案中位达标时间_天,两组低BMI组中位达标时间_天,两组高BMI组中位达标时间_天
207,1,0.9922905731882417,290.38705007806664,298.624793824496,0,37.849496290000005,160,7,70,70,89
208,1,1.022319256032381,304.30710297166075,306.0287726686894,0,45.92884948,164,3,70,70,175
209,1,1.0215460729189836,330.02593324291433,322.5604206623025,1,30.11780753,58,109,80,70,87
210,1,1.037143119478194,331.67109545431254,328.5820134299406,1,36.067052364999995,145,22,75,70,103
211,1,1.019012365000053,302.68989888276485,305.0148913351946,0,37.0437363,157,10,71,70,103
212,1,1.0467974569945848,271.31491898205513,277.4134879084847,0,40.635610400000004,164,3,70,70,121
213,1,1.0144206662963533,313.643447385538,313.83385061928993,0,35.971755044999995,137,30,74,70,91
214,1,1.024187501096361,324.89285137763375,315.73807456056954,1,36.999319045,147,20,77,73,110
215,1,1.037276868333138,333.5449557903683,328.91643365277065,1,36.999319045,154,13,72,70,119
216,1,1.0275058960085683,300.03436753802134,300.81003937988123,0,40.635610400000004,162,5,72,71,131
217,1,1.036088933940835,339.6614416300265,345.3510787598458,0,36.999319045,151,16,70,70,100
218,1,1.0170547848807128,321.3342985584328,327.4461919498227,0,30.98707349,81,86,72,70,80
219,1,1.020635596896608,319.13566926565045,320.5238952854845,0,36.067052364999995,146,21,75,71,96
220,1,1.0153300490148869,294.6158000781502,300.58208053988693,0,45.92884948,166,1,75,75,175
221,1,1.0191077658056067,334.3362845535191,333.68318327355576,1,30.119388739999998,62,105,76,70,83
222,1,1.0210080392349044,315.9454889684355,321.9294949664232,0,36.8111298,157,10,72,70,98
223,1,1.0279780920747292,335.3174368045151,333.3687766163913,1,37.0437363,154,13,76,72,109
224,1,1.0316650928722768,301.37969282788055,306.42675330721687,0,30.9825528,77,90,70,70,79
225,1,1.01086630750906,287.56640712351486,286.2645181979989,1,36.09730783,146,21,70,70,100
226,1,1.0359217838985282,342.1738236909791,338.63075470290175,1,31.743230699999998,94,73,74,70,88
227,1,1.0404096107941359,320.82326479366475,322.51903888737235,0,45.92884948,164,3,70,70,175
228,1,1.0172728756038059,314.4678253049624,321.04751427693475,0,36.116941345,154,13,70,70,91
229,1,1.0170885812632067,327.2829204876783,327.58353899055817,0,36.09730783,146,21,76,72,96
230,1,1.020629771009646,296.01061989095683,295.8942410091396,1,36.09730783,146,21,71,70,96
231,1,1.038031614455272,310.2117363783093,316.92940693119937,0,36.09730783,148,19,70,70,90
232,1,1.0240412353305512,315.0143438229094,313.20270217641786,1,36.999319045,155,12,74,72,113
233,1,1.0323678127014417,333.5038257863018,331.04151294358945,1,37.0437363,151,16,73,70,106
234,1,1.0185284815961826,309.5017482817786,309.4355788216844,1,40.635610400000004,163,4,72,70,139
235,1,1.0257180565816897,335.28604776298766,333.48793767817796,1,31.430195355000002,100,67,76,70,89
236,1,1.0353067877791229,323.01307205493515,327.58526532036973,0,36.09730783,153,14,70,70,98
237,1,1.0205644705972707,310.8394102320922,315.17474024105286,0,40.635610400000004,163,4,73,71,124
238,1,1.025528958269812,309.96048447398505,313.6313133595786,0,40.635610400000004,163,4,74,73,124
239,1,1.031114653851617,356.1942299339144,352.3527193845734,1,36.09730783,138,29,78,73,100
240,1,1.012514840860257,291.0336038676325,298.7319348704217,0,40.635610400000004,162,5,70,70,104
241,1,1.0480956686289231,273.342885961149,277.07230885369256,0,36.8111298,156,11,70,70,102
242,1,1.0287747072640863,306.96034708756014,297.09556898122366,1,36.999319045,148,19,75,71,107
243,1,1.044491563066733,282.3184168930735,285.9115053079148,0,36.855547055,159,8,70,70,110
244,1,1.0443251970555731,284.8611502157633,285.4715692891872,0,45.92884948,164,3,70,70,175
245,1,1.0168126431125608,305.0674786448111,303.7226719819553,1,31.021087095,78,89,79,70,85
246,1,1.016350144213442,336.7319901781657,335.1842955152486,1,30.98707349,82,85,79,71,87
247,1,1.0262509648719194,303.81160738932755,305.28867981517124,0,36.09730783,146,21,70,70,99
248,1,1.0419619176521477,319.6638619744012,308.36949912083264,1,36.067052364999995,147,20,75,70,111
249,1,1.0234023011126643,300.91016242582856,294.8515031511331,1,36.09730783,153,14,72,70,108
250,1,1.047066684064482,310.7817812838357,306.75170046575056,1,35.971755044999995,152,15,75,71,106
251,1,1.042913547832767,315.4808728636204,309.1358289868184,1,40.635610400000004,160,7,70,70,169
252,1,1.0431544355370184,302.496385226785,306.38685142858907,0,32.91001542,124,43,70,70,87
253,1,1.022576963452144,313.02080143279744,309.4246705227093,1,31.939963215,98,69,73,70,86
254,1,1.0329926451707339,276.1119067798006,274.7947436152958,1,30.25219559,74,93,72,70,81
255,1,1.0369170228645483,298.71528835381264,298.94251424858004,0,35.971755044999995,143,24,72,70,95
256,1,1.031603090924355,298.2875262332602,292.3907184561701,1,33.03754866,113,54,76,70,89
257,1,1.0297990377443873,343.45300719727965,341.89997031470887,1,36.09730783,150,17,78,74,104
258,1,1.0527891909661509,312.5420524125165,320.43169965161576,0,45.92884948,166,1,70,70,175
259,1,1.048439195184327,284.8401257950477,294.71103491096574,0,23.661234195,1,166,70,102,70
260,1,1.0230991949707644,298.56163347683145,294.9025110484931,1,30.98707349,85,82,76,70,85
261,1,1.0187646477344443,312.73129335718085,313.5255098714201,0,36.09730783,140,27,73,70,91
