重复序号,有效标志,抽样技术误差标准差,达标事件数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
36,1,0.0054787375098929135,481,213.6521858755168,218.01397820704653,0,36.43617476,151,16,0.35589108201330866,-0.12117256663668395,-0.0785537485443036,-0.033158093964668914,0.17671282263397586,0.6076378441673853,0.6448637241365227,0.9187915228890836,0.6418028210777234,0.6786190553248683,0.9312123325571114,0.3506948782457133,0.3816658501884489,0.7761201844932312,
37,1,0.004260000595537756,487,205.15851407253948,210.1889257511932,0,36.43617476,151,16,0.3571726045568219,-0.13653833829762113,-0.08443414208073818,-0.0387634708324182,0.19178418411118667,0.6341625155351039,0.6693351261997874,0.9294128264634952,0.6664495612844643,0.7008106680001988,0.9403633898047125,0.40954299675298333,0.4433245424211198,0.8180410780922682,
38,1,0.00438177377828518,489,205.90225613507195,211.9803646560078,0,29.756464415,48,119,0.34397183870410886,-0.1409018035395311,-0.09175443113194347,-0.040253861276126006,0.1949016302693162,0.6394805516031264,0.6744629759574039,0.9208604166869577,0.7467298407630926,0.7778443186810765,0.9558321202940295,0.59145334152073,0.6271451979615741,0.9015964497670305,
39,1,0.004749194801353478,484,210.730774990934,215.5906055416429,0,36.43617476,151,16,0.3459344990709739,-0.13005161763277667,-0.09701507200182961,-0.05172208513891598,0.17971892314007273,0.6280911273742524,0.6631586150057717,0.9204947973807627,0.6607932283057367,0.6952754412387533,0.9324942584299939,0.3381095770570635,0.3671061244440007,0.7517907651229261,
40,1,0.0045459510682088625,487,206.44599624607525,211.72112700898646,0,36.43617476,151,16,0.3587445758865263,-0.13178508786060922,-0.08573539294191489,-0.036449946714186054,0.18898613681438142,0.6268374935823293,0.6626799163133901,0.9288977712021628,0.6577005082077969,0.6927974728550417,0.9393373461191586,0.41864477177778003,0.45340561781706856,0.8285436932449534,
41,1,0.0051744807876316235,489,208.9286297998685,213.41112674457634,0,36.43617476,151,16,0.34897924065933017,-0.12541100176930184,-0.08637899407307777,-0.04846663441748875,0.17784379642317777,0.6380531570176243,0.6738804794338347,0.921937511441008,0.6696553124127778,0.7046827913402536,0.9329998727938577,0.33909377770680443,0.37021887730930764,0.7583515929526157,
42,1,0.004025920686495935,488,208.92331098068152,214.1735455886564,0,36.43617476,151,16,0.33979786452799954,-0.11509240957134294,-0.080649746151634,-0.032151659954752144,0.17805528189154943,0.6314221502777413,0.6670067145370088,0.9179074831428492,0.6621475939707571,0.6970331001322648,0.9290591278341797,0.37207188520899964,0.40434723428127745,0.7798927183427196,
43,1,0.003947275341166678,487,208.71698064022831,214.82418107723572,0,36.43617476,151,16,0.34480518241244634,-0.1196024947374082,-0.08427179535290323,-0.03820800626371565,0.17344302854420032,0.6300828159145939,0.6658719600634659,0.9194475662324928,0.6563885761809098,0.6915816694375156,0.9289209287135696,0.3597529288151535,0.391830982517484,0.7742602557157875,
44,1,0.004743122407769603,477,214.2269194840006,219.16039606811,0,36.43617476,151,16,0.33809078873651927,-0.12745973766211519,-0.07846615132929431,-0.044304883402832076,0.17840084217784222,0.6143432778446075,0.6492058932509016,0.9062070020404679,0.6472430665060089,0.6815987173776624,0.9192782128034531,0.34164275504742475,0.37094689180592,0.7451855200818691,
45,1,0.0052534964971480075,489,208.64200823078835,212.217100016522,0,36.43617476,151,16,0.3451739775190292,-0.11994583121526803,-0.0883102162213758,-0.04280687988454745,0.1709894289805369,0.6370353182139803,0.6726467025826566,0.9183299796494692,0.6750003549646711,0.7098997367108937,0.9321932517837893,0.3571415371978629,0.38685639874175304,0.7620350523089483,
