重复序号,截距,孕周一次项,孕周二次项,妇间BMI效应,个体内BMI效应,年龄效应,生产次数效应,曲线最低点孕周
70,-2.8633865047760847,0.04207782561564255,0.00454229703572411,-0.022555780820386086,-0.009837872917198018,-0.03074494054893059,0.2500753106172062,13.368221707573257
71,-2.8843031924380864,0.05000819241698994,0.004117462439570655,-0.03819931177427217,-0.06862761159218615,-0.02241510959746786,0.19841776009061407,11.927304359064838
72,-2.898270266819894,0.0476477589307891,0.0051013467848331035,-0.023675307359683644,-0.0026977271609464892,-0.02446607728903979,0.17051019589234873,13.329884348143963
73,-2.912049292509221,0.04459479008847118,0.005613910508868801,-0.042158752714345195,-0.02108193234213929,-0.018930571821094186,0.23843744791237007,14.028188370831636
74,-2.8858030272180164,0.037884514910690656,0.004144231930270688,-0.03512893183347104,-0.006077246274233543,-0.008503742893560439,0.1887546623766296,13.429247741424529
75,-2.9481380820929783,0.047080385326936626,0.005432794227573544,-0.011550318038147097,0.0034416417062808923,-0.025740523529664872,0.1380127798556189,13.667019276380342
76,-2.805926914792614,0.05257468844883071,0.004067618408829389,-0.02007808390189719,-0.014772622594945719,-0.026476121934449065,0.18146488893827345,11.537411432853522
77,-2.873164146502641,0.045694152624696276,0.004731119771754574,-0.023622234698499226,-0.04731122344110653,0.0025839475518100318,0.13534398789649793,13.170894541975395
78,-2.868509599509504,0.04464465087446204,0.005566483896052055,-0.017144980340748083,-0.009028995852107546,-0.01770296045021934,0.08412803245504441,13.989869753676501
79,-2.889581455561675,0.0493117637724502,0.005878594196400552,-0.009654132719449105,-0.025621581999688847,-0.02988057615517706,0.21633626301822848,13.805820054508638
80,-2.918459068983086,0.046079411462093496,0.006583250585527771,-0.043892997594037995,-0.02826551072462905,-0.012102906150001189,0.232815147085769,14.500253874325265
81,-2.9216824379760893,0.04877814824232156,0.00587685211487187,-0.03260675034985667,-0.004028207001502982,-0.025568685706606628,0.1827763538069836,13.849976544510595
82,-2.8694126167827148,0.04852355680190727,0.004067771949376655,-0.045543260264079885,-0.01656037774266372,-0.005347689162276612,0.2168009098691338,12.035609984313032
83,-2.8900028097681667,0.04992152017104205,0.005953609603338167,-0.006498283075946629,-0.033945085527848445,-0.0069664591819442855,0.10555552075160655,13.807457702378468
84,-2.9262168636782535,0.05041207012209792,0.005960721007476527,-0.028920113098640773,-0.0025620175750227475,-0.010029597428200034,0.14511033626129535,13.771311049547016
85,-2.901633683244852,0.03996874761282971,0.003716971995864068,-0.031651232573755864,-0.011546292218801116,-0.014604551916701269,0.11698293319374291,12.623480126120999
86,-2.9193975548942155,0.048462033889096305,0.006064298829581555,-0.023741973561242344,-0.005305134247642879,-0.0042971440827565465,0.1767894292359177,14.004316801416575
87,-2.8748899714937126,0.04661599313548524,0.005762413662964526,-0.04904947065892231,-0.006867677553259809,-0.011849077721988233,0.12991619226195844,13.955167759380952
88,-2.8345543923407237,0.046809556128294516,0.003931887759738765,-0.03985937210055214,-0.010660574483327953,-0.004597188494586549,0.15136168346921727,12.047445020225535
89,-2.9228294020009242,0.044510132896966884,0.005141295538109645,-0.041982972710308986,0.0046011922420823425,-0.0305059239338716,0.23077679700562706,13.671311582164716
90,-2.917238179432831,0.03774565230398545,0.005945713335470099,-0.03364763579004244,0.003848807987506277,-0.018834636791444467,0.1951678925098733,14.825809606493491
91,-2.8605880961667647,0.04524690507097843,0.0052044896623941695,-0.03891191895734429,0.0016337303965061724,-0.025206410589813925,0.13716257300997794,13.653089158970108
92,-2.854842548552786,0.043888947601436516,0.00441477684587321,-0.0416233496214454,-0.005038153767721573,-0.01493052027458173,0.20410033129984553,13.029313016980407
93,-2.823978682544582,0.05221795869517205,0.005666542077029053,-0.023717182256325752,-0.043785479417470706,-0.001878253717699505,0.14693165681152887,13.392431752439247
94,-2.9300747806768537,0.04389216742475622,0.006113998879981001,-0.025970101218987955,-0.001709584051325368,-0.04111726268508375,0.22898400729111834,14.41051885301518
95,-2.915505064178484,0.048132993979928186,0.005550059907332959,-0.04104853320056422,-0.08235937984445799,-0.018215204231291082,0.20771669492624906,13.663741042116232
96,-2.859901301791028,0.041418012721308024,0.0037988871756067816,-0.03229872309365513,-0.0007669514931768512,-0.02018660628863075,0.1124236716821723,12.548665068647047
97,-2.8621707801485523,0.04283152688346175,0.0034083637706164888,-0.041745939804875905,0.006817296072079384,-0.019813940978539075,0.2197632047054845,11.716702534407794
98,-2.912381758238031,0.04746997274881077,0.006424686757372411,-0.04163629461894683,-0.02160853252152557,0.003814894139973096,0.09624191280626469,14.305658583717069
100,-2.9286566983852493,0.04547096413757601,0.005333467602599294,-0.026046055736270425,-0.03163010716227938,-0.029152995497154305,0.21158146330644428,13.73720443005827
101,-2.8787816012665877,0.047706162990026224,0.004506764708977544,-0.03365294958755313,0.009583935814661841,-0.015220176723271566,0.16820524978972268,12.707271616044785
102,-2.9772471712588704,0.04810126522816041,0.0063549675533811295,-0.04404143698473379,-0.00035239902426987337,-0.02245373859387848,0.23834154928455537,14.215459416266542
103,-2.8904977623729917,0.04573512387808912,0.004413466068767149,-0.036480630564414654,-0.017597199540517486,-0.0238181138331555,0.20462193558212927,12.818684094827006
104,-2.874607124903264,0.0427419624215066,0.004626980314536269,-0.02614092515635612,-0.002262748134073267,-0.016318670927186484,0.17930768599695474,13.38122495494231
105,-2.892533351011013,0.037471845751511454,0.0037088502179005315,-0.04038133530878756,0.016888375439082483,-0.024174708326791798,0.23045181215433233,12.94832042951533
106,-2.781325886837946,0.04362655195566451,0.0050406766014003315,-0.04427093714530032,-0.03311444163765316,-0.00572994387340912,0.08116947918377133,13.672549996210352
107,-2.9536884735431768,0.040651118141573524,0.0054109899414029414,-0.024323670468509834,-0.03375811475900442,-0.022011442537877852,0.24932745268642265,14.243652401705107
108,-2.9014359200425615,0.04832964601532388,0.005204450614477702,-0.03880875256504766,-0.05463223270408266,-0.01806910011237217,0.22332115664978686,13.35689262946594
109,-2.9331533993321393,0.045848111212173054,0.007316633447526799,-0.018190960122718175,-0.06285439854261402,-0.016960288509643175,0.1313990061638655,14.866857446051856
110,-2.827926576387228,0.03637323706700685,0.003932473063139195,-0.040890513235473734,0.009265745256653257,-0.019731639166457066,0.23894637863614876,13.375271936640935
111,-2.9468142869961556,0.04147729142616547,0.006433679732385378,-0.04044732178098832,-0.007068233504901706,-0.014100893461036764,0.17482606377336865,14.776549878805735
112,-2.981022421234475,0.0383594117448967,0.00611806520244103,-0.03204874673818678,-0.030999338015247447,0.004058489365500277,0.24508234700054873,14.865070044563126
113,-2.8659460245311084,0.04216284656776816,0.005861698399005629,-0.04173129464125555,-0.04542598317874507,0.0006805247544931555,0.10148261022586405,14.403529856217046
114,-2.94346835047764,0.04257510037754526,0.0062821228855719806,-0.028555132206207232,-0.014119074808592667,-0.02977107710779006,0.24285276781005166,14.611408185334405
115,-2.9537001602992285,0.04740790779524115,0.006438351195318291,-0.03796246721511844,-0.006679043627776349,-0.029137664301378697,0.22714603464811078,14.318319212711302
116,-2.9361349108127515,0.04596298253059536,0.005455883000559996,-0.025781291059946813,-0.01606667242795139,-0.023586216132289225,0.17113939785895035,13.787759513365877
117,-2.9219732941721204,0.04724387846587369,0.005325149094630952,-0.023579167956631713,-0.03701291464766097,-0.02032997999258128,0.18155226654403744,13.56407927493457
118,-2.799280028848392,0.04697037223292809,0.003997450488068559,-0.026517349244291687,-0.010726806848185116,-0.01722984120263114,0.15386371534556845,12.124958849005948
119,-2.9203731868567595,0.04022362942638501,0.005937016360112785,-0.0345576340892862,-0.0031623240228867084,-0.012491270904750745,0.13621834006746047,14.612471064032837
120,-2.8335142087021215,0.04553780846314597,0.0053580186459277,-0.03507181304291181,-0.009940438708063694,-0.024907952076608723,0.1375064043761886,13.750499254257313
121,-2.9328018868875474,0.05080545692426776,0.005184202869372859,-0.04113306176346865,-0.0006347993650103422,-0.013765272529973907,0.2655009206379351,13.09997407466292
122,-2.918778228274436,0.04685828302769181,0.004463695618711385,-0.0442002351566205,-0.00181153232242748,-0.007738314760715474,0.20285668105323432,12.751178504279462
123,-2.941505993078094,0.03855336457006517,0.005906872170053363,-0.03271205312827739,-0.04073089303360304,-0.03957861882212591,0.2355775582931988,14.736566878362218
124,-2.9455874352150357,0.04109435405292789,0.0063163143707635995,-0.03557980244502909,-0.02912909040555155,-0.004504455371673655,0.20651436697327352,14.74696732614024
125,-2.819141561495591,0.04753624904379863,0.004058113400503126,-0.036744632982671256,-0.0039052860072618474,-0.01416716962547773,0.14639444614757813,12.143060536713307
126,-2.903251265402989,0.04385065191559383,0.0054132213637530435,-0.032753982174526644,-0.0258315227000816,-0.018772948718308296,0.16921990586936572,13.949671279913103
127,-2.9457431407891272,0.049256762223916846,0.006234419920301089,-0.030828191815556984,-0.0033962092547061102,-0.0038084911294971185,0.17611147246785852,14.049611443117389
128,-2.9176148684602654,0.04723631837681284,0.005833470567009888,-0.052485524262368716,-0.0013762004889895365,-0.01849009725424157,0.16892006319427083,13.95126796011031
129,-2.9085019052851355,0.05297437098650653,0.0053055403576784885,-0.03094508936092095,-0.01922749269841086,-0.013800061063229896,0.205181460145754,13.007636601063743
130,-2.90706872974872,0.043283219795274795,0.005484661853639093,-0.03409985871386293,-0.023602172375525435,-0.02389646044056838,0.2587570639779456,14.05415785418419
131,-2.8800605720494623,0.04325797673650933,0.005598157355624192,-0.038134046042561744,-0.02475193899526711,-0.021217628617600442,0.15845398913694708,14.13640935860349
132,-2.820057046769277,0.04604067567922593,0.003211554495876293,-0.03933433395964536,-0.009220055376416271,-0.02380831924979458,0.1972594777206365,10.832026400557242
133,-2.9126033686779635,0.043010909997256916,0.0055764476454805085,-0.05683687442847724,0.0009598983213599263,-0.021416895527392562,0.24648776644267947,14.143520684524352
