孕周数,孕妇平均BMI,BMI个体内偏差,年龄,生产次数,典型孕妇预测Y浓度,固定效应95%区间下限,固定效应95%区间上限
25.0,36.0,0.0,29.0,0,0.07896180980968086,0.07019515221704845,0.08971731968231382
25.25,36.0,0.0,29.0,0,0.08114175742127185,0.0720394276126038,0.09221594196033614
25.5,36.0,0.0,29.0,0,0.08342500379289301,0.07397252745412362,0.09545556323876249
11.0,40.0,0.0,29.0,0,0.037959982820554135,0.032871814474851394,0.04482307916314458
11.25,40.0,0.0,29.0,0,0.03774247856354279,0.03275731353062878,0.044493244252165776
11.5,40.0,0.0,29.0,0,0.03754912354333823,0.03265660751885534,0.04419397911827806
11.75,40.0,0.0,29.0,0,0.037379572600114985,0.03256195083374973,0.04386466393368053
12.0,40.0,0.0,29.0,0,0.037233523792394946,0.03237470597376788,0.043452019297336435
12.25,40.0,0.0,29.0,0,0.03711071757976644,0.032217143104035895,0.04310901085276219
12.5,40.0,0.0,29.0,0,0.037010936120800676,0.0320803925377513,0.04277775573373308
12.75,40.0,0.0,29.0,0,0.036934002684088314,0.031964873971914005,0.042493904838093795
13.0,40.0,0.0,29.0,0,0.03687978117064446,0.03187565886642766,0.04247655113950616
13.25,40.0,0.0,29.0,0,0.03684817574625735,0.03183696590718791,0.042549586095420235
13.5,40.0,0.0,29.0,0,0.036839130582681165,0.031756688877564485,0.04264515262348892
13.75,40.0,0.0,29.0,0,0.03685262970689637,0.031707080583657093,0.04276339130929149
14.0,40.0,0.0,29.0,0,0.03688869695798558,0.03168958522653725,0.042894337823832576
14.25,40.0,0.0,29.0,0,0.036947396051495336,0.031692402837231286,0.042926390850997344
14.5,40.0,0.0,29.0,0,0.037028830751476824,0.031715538305284355,0.04309218717323805
14.75,40.0,0.0,29.0,0,0.03713314515072221,0.03171220888321939,0.0433442971730391
15.0,40.0,0.0,29.0,0,0.03726052406003652,0.031775927508706295,0.04354798918830077
15.25,40.0,0.0,29.0,0,0.03741119350770849,0.03186428658557259,0.04369277646820545
