随机种子,折号,候选模型,测试事件数,测试孕妇数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常
20250827,2,logit二次随机截距,123,34,1,lbfgs,0.03321499423327668,0.02402470151203394,0.029100334817658058,
20250827,3,logit二次随机截距,122,33,1,lbfgs,0.033107107033832454,0.024123657625332272,0.17200141359190713,
20250827,4,logit二次随机截距,130,33,1,lbfgs,0.030915782241554023,0.023348645472896785,0.03617789707638497,
20250827,5,logit二次随机截距,117,33,1,lbfgs,0.037171520340177,0.02487598633868238,0.16669496956873642,
20250827,1,logit二次随机斜率,121,34,1,lbfgs,0.030941526665041238,0.02408718056236093,0.19711566139810577,
20250827,2,logit二次随机斜率,123,34,1,lbfgs,0.03311273971538799,0.023995283375530026,0.03506908846237111,
20250827,3,logit二次随机斜率,122,33,1,lbfgs,0.03328978530406253,0.02431243754465609,0.16283874933500897,
20250827,4,logit二次随机斜率,130,33,1,lbfgs,0.03101806041939979,0.02341292362004555,0.029790154426036608,
20250827,5,logit二次随机斜率,117,33,1,lbfgs,0.037137661196912725,0.024879929201024397,0.16821237557100244,
20250827,1,logit样条随机斜率,121,34,1,lbfgs,0.030964254544597388,0.02409586459827632,0.19593572217528787,
20250827,2,logit样条随机斜率,123,34,1,lbfgs,0.03307367538667929,0.023980160778947837,0.037344475150656975,
20250827,3,logit样条随机斜率,122,33,1,lbfgs,0.03331061738291191,0.024348281167292363,0.161790664118161,
20250827,4,logit样条随机斜率,130,33,1,lbfgs,0.031070821573974446,0.023467184205890307,0.02648672880561842,
20250827,5,logit样条随机斜率,117,33,1,lbfgs,0.03712312359867451,0.02488988870176144,0.16886345736555852,
20250828,1,原尺度线性随机斜率,120,34,1,lbfgs,0.02461063294984896,0.01949632334466375,0.25399820752186886,
20250828,2,原尺度线性随机斜率,129,34,1,lbfgs,0.03436834309004128,0.024571746829954964,0.17306074485229472,
20250828,3,原尺度线性随机斜率,115,33,1,lbfgs,0.03388371534165257,0.024483422678504833,0.09684729098544576,
20250828,4,原尺度线性随机斜率,126,33,1,lbfgs,0.03212988718905595,0.026177330261418916,0.04413436417209593,
20250828,5,原尺度线性随机斜率,123,33,1,lbfgs,0.03709800793854743,0.027156702387070117,0.17479558151647612,
20250828,1,原尺度二次随机斜率,120,34,1,lbfgs,0.02420770321296237,0.01914436970338569,0.27822559572970473,
20250828,2,原尺度二次随机斜率,129,34,1,lbfgs,0.03391849213909925,0.024088317198794187,0.19456686396439649,
20250828,3,原尺度二次随机斜率,115,33,1,lbfgs,0.03304906026715143,0.024787279628804917,0.1407938638760372,
20250828,4,原尺度二次随机斜率,126,33,1,lbfgs,0.03167901600364892,0.02592015807055241,0.07077301393102431,
20250828,5,原尺度二次随机斜率,123,33,1,lbfgs,0.03640344566242513,0.026178136141133828,0.20540587438274838,
20250828,1,原尺度样条随机斜率,120,34,1,lbfgs,0.024470569825493043,0.01914746998824193,0.26246528066001407,
20250828,2,原尺度样条随机斜率,129,34,1,lbfgs,0.03386892863421666,0.02408377520044733,0.19691902763535551,
20250828,3,原尺度样条随机斜率,115,33,1,lbfgs,0.0330957060379946,0.024903540409946415,0.13836676817733085,
20250828,4,原尺度样条随机斜率,126,33,1,lbfgs,0.031618693102816474,0.025906518741244396,0.07430849614911805,
20250828,5,原尺度样条随机斜率,123,33,1,lbfgs,0.036365766682013544,0.026117135574636567,0.20704989470438628,
20250828,1,logit线性随机斜率,120,34,1,lbfgs,0.024973617342034383,0.01917758794875798,0.2318302333398966,
20250828,2,logit线性随机斜率,129,34,1,lbfgs,0.0354299522683173,0.024364906170898575,0.1211848144271872,
20250828,3,logit线性随机斜率,115,33,1,lbfgs,0.03526027415475777,0.024779527517963224,0.02197375475440011,
20250828,4,logit线性随机斜率,126,33,1,lbfgs,0.03170669458150007,0.025073305859022916,0.06914853687229816,
20250828,5,logit线性随机斜率,123,33,1,lbfgs,0.037568596368132534,0.02591229176890961,0.15372735345592825,
20250828,1,logit二次随机截距,120,34,1,lbfgs,0.024798172560634726,0.01929833391982584,0.24258542163922858,
20250828,2,logit二次随机截距,129,34,1,lbfgs,0.0349202710766766,0.02428046535470208,0.14628751849426858,
20250828,3,logit二次随机截距,115,33,1,lbfgs,0.034648647085823714,0.024905654684435913,0.05560929737545295,
20250828,4,logit二次随机截距,126,33,1,lbfgs,0.03131094466477761,0.024907455419965804,0.09224052944080086,
20250828,5,logit二次随机截距,123,33,1,powell,0.03692067587218364,0.02526740041182139,0.18266584003426178,lbfgs:LinAlgError:Singular matrix
20250828,1,logit二次随机斜率,120,34,1,lbfgs,0.024756214978403423,0.019250435311024976,0.24514628774302294,
20250828,2,logit二次随机斜率,129,34,1,lbfgs,0.03490237639633554,0.024282085581342937,0.14716225383901493,
20250828,3,logit二次随机斜率,115,33,1,lbfgs,0.0347515832041141,0.024969799643706925,0.049989665872831934,
20250828,4,logit二次随机斜率,126,33,1,lbfgs,0.031320212518321226,0.024917777195823686,0.0917030670925788,
20250828,5,logit二次随机斜率,123,33,1,lbfgs,0.03690092968438012,0.02530029766087173,0.18353987159450835,
20250828,1,logit样条随机斜率,120,34,1,lbfgs,0.024937504115760973,0.019268454773548608,0.2340502586289086,
20250828,2,logit样条随机斜率,129,34,1,lbfgs,0.0348872890120942,0.024278843960202228,0.14789941337064116,
20250828,3,logit样条随机斜率,115,33,1,lbfgs,0.03477685906375416,0.025095516988405855,0.048607221789010335,
20250828,4,logit样条随机斜率,126,33,1,lbfgs,0.03130147910913523,0.024907181184848356,0.09278929276216974,
20250828,5,logit样条随机斜率,123,33,1,lbfgs,0.03686645109340461,0.02532367519391332,0.18506488702452562,
